Name,Fame_Level,Short_Description,Gender,Category
Chance The Rapper,2,"Independent rapper known for his hit ""No Problem"" and his Grammy-winning album ""Coloring Book.""",Male,Musicians
Chris Brown,2,"R&B singer known for his dance abilities and hits like ""With You"" and ""Kiss Kiss.""",Male,Musicians
DaBaby,2,"Rapper known for his hits like ""Suge"" and ""Rockstar.""",Male,Musicians
David Guetta,2,"French DJ known for his hit songs like ""Titanium"" and ""Hey Mama.""",Male,Musicians
Doja Cat,2,"Rapper and singer known for her eclectic style and hits like ""Say So"" and ""Kiss Me More.""",Female,Musicians
Ellie Goulding,2,"English pop singer known for her hits ""Love Me Like You Do"" and ""Burn.""",Female,Musicians
Halsey,2,"Pop singer known for her hits ""Without Me"" and ""Bad at Love.""",Female,Musicians
Hozier,2,"Irish musician known for his soulful rock sound and hit ""Take Me to Church.""",Male,Musicians
Idina Menzel,2,"Singer known for her Broadway work and her role as Elsa in Disney's ""Frozen.""",Female,Musicians
J. Cole,2,"Rapper known for his storytelling and hits like ""No Role Modelz"" and ""Work Out.""",Male,Musicians
Kacey Musgraves,2,"Country singer known for her Grammy-winning album ""Golden Hour.""",Female,Musicians
Keith Urban,2,"Country singer known for hits like ""Blue Ain't Your Color"" and ""The Fighter.""",Male,Musicians
Khalid,2,"R&B singer known for his soothing voice and hits like ""Location"" and ""Talk.""",Male,Musicians
Lana Del Rey,2,"Singer known for her cinematic sound and hits like ""Video Games"" and ""Summertime Sadness.""",Female,Musicians
Lewis Capaldi,2,"Scottish singer known for his hit ""Someone You Loved.""",Male,Musicians
Lil Baby,2,"Rapper known for his hits like ""The Bigger Picture"" and ""Drip Too Hard.""",Male,Musicians
Lil Nas X,2,"Rapper known for his viral hit ""Old Town Road"" and genre-blending style.",Male,Musicians
Lizzo,2,"American singer known for her energetic performances and hits like ""Truth Hurts"" and ""Good as Hell.""",Female,Musicians
Lorde,2,"New Zealand singer known for her hits ""Royals"" and ""Green Light.""",Female,Musicians
Machine Gun Kelly,2,"Rapper turned pop-punk singer known for his hits like ""Bad Things"" and ""My Ex's Best Friend.""",Male,Musicians
Maren Morris,2,"Country singer known for her hit ""The Bones"" and her work with The Highwomen.",Female,Musicians
Megan Thee Stallion,2,"Rapper known for her empowering lyrics and hits like ""Savage"" and ""WAP.""",Female,Musicians
Roddy Ricch,2,"Rapper known for his hit ""The Box.""",Male,Musicians
Rosalía,2,"Spanish singer known for her modern flamenco-inspired sound and hits like ""Malamente.""",Female,Musicians
Shawn Mendes,2,"Canadian pop singer known for his hits like ""Stitches"" and ""Senorita.""",Male,Musicians
Sia,2,"Australian singer-songwriter known for her powerful vocals and hits like ""Chandelier"" and ""Elastic Heart.""",Female,Musicians
Tones And I,2,"Australian singer known for her viral hit ""Dance Monkey.""",Female,Musicians
Travis Scott,2,"Rapper known for his psychedelic sound and hits like ""Sicko Mode"" and ""Stargazing.""",Male,Musicians
Young Thug,2,"Rapper known for his unique flow and his hit ""Hot.""",Male,Musicians
Baruch Spinoza,2,"Dutch philosopher, one of the early thinkers of the Enlightenment and modern biblical criticism.",Male,Philosophers
David Hume,2,"Scottish Enlightenment philosopher, historian, economist, known for his empirical approach to philosophy.",Male,Philosophers
Gottfried Wilhelm Leibniz,2,"German philosopher, mathematician, and logician, known for his work in philosophy and invention of calculus.",Male,Philosophers
Jean-Paul Sartre,2,"French philosopher, playwright, novelist, political activist, biographer, and literary critic, one of the key figures in the philosophy of existentialism and phenomenology.",Male,Philosophers
John Locke,2,"English philosopher and physician, widely regarded as one of the most influential of Enlightenment thinkers, known as the ""Father of Liberalism"".",Male,Philosophers
John Stuart Mill,2,"British philosopher, political economist, and civil servant, contributed widely to social theory, political theory, and political economy.",Male,Philosophers
Judith Butler,2,"American philosopher and gender theorist, known for her work on gender performativity and critique of the notion of an essential gender.",Female,Philosophers
Martin Heidegger,2,"German philosopher, known for his existential and phenomenological theories of individuality and being.",Male,Philosophers
Michel Foucault,2,"French philosopher, historian of ideas, social theorist, and literary critic, known for his theories on power, knowledge, and discourse.",Male,Philosophers
Noam Chomsky,2,"American linguist, philosopher, cognitive scientist, historian, social critic, and political activist, known for his theories of linguistics and critique of American foreign policy.",Male,Philosophers
Simone de Beauvoir,2,"French writer, intellectual, existentialist philosopher, political activist, feminist and social theorist, known for her 1949 treatise ""The Second Sex"".",Female,Philosophers
Thomas Aquinas,2,"Italian Dominican friar, philosopher, Catholic priest, and Doctor of the Church, hugely influential philosopher and theologian in the tradition of scholasticism.",Male,Philosophers
Alexandria Ocasio-Cortez,2,"US Representative from New York, leading figure in progressive politics.",Female,Politicians
Ali Khamenei,2,"Supreme Leader of Iran, former President of Iran.",Male,Politicians
Andrés Manuel López Obrador,2,President of Mexico.,Male,Politicians
António Costa,2,"Prime Minister of Portugal, Secretary-General of the Socialist Party.",Male,Politicians
Benjamin Netanyahu,2,Long-term Prime Minister of Israel.,Male,Politicians
Chuck Schumer,2,"US Senator from New York, Senate Majority Leader.",Male,Politicians
Elizabeth Warren,2,"US Senator from Massachusetts, former law professor.",Female,Politicians
Ilhan Omar,2,"US Representative from Minnesota, one of the first Muslim women elected to Congress.",Female,Politicians
Marine Le Pen,2,"French politician, leader of the National Rally party.",Female,Politicians
Mark Rutte,2,"Prime Minister of the Netherlands, leader of the People's Party for Freedom and Democracy.",Male,Politicians
Matteo Salvini,2,"Italian politician, leader of the League party.",Male,Politicians
Mike Pence,2,Vice President of the United States under Donald Trump.,Male,Politicians
Mitch McConnell,2,"Long-serving US Senator from Kentucky, Senate Majority Leader from 2015-2021.",Male,Politicians
Mohammad bin Salman,2,"Crown Prince of Saudi Arabia, de facto ruler of the country.",Male,Politicians
Nancy Pelosi,2,"Speaker of the US House of Representatives, US Representative from California.",Female,Politicians
Nicola Sturgeon,2,"First Minister of Scotland, leader of the Scottish National Party.",Female,Politicians
Pedro Sánchez,2,"Prime Minister of Spain, Secretary-General of the Spanish Socialist Workers' Party.",Male,Politicians
Rodrigo Duterte,2,"President of the Philippines, known for his controversial war on drugs.",Male,Politicians
Sanna Marin,2,"Prime Minister of Finland, the world's youngest serving state leader.",Female,Politicians
Scott Morrison,2,"Prime Minister of Australia, former Treasurer.",Male,Politicians
Shinzo Abe,2,Longest-serving Prime Minister of Japan.,Male,Politicians
Ted Cruz,2,"US Senator from Texas, former Solicitor General of Texas.",Male,Politicians
Theresa May,2,"UK Prime Minister from 2016-2019, led Brexit negotiations.",Female,Politicians
Ursula von der Leyen,2,"President of the European Commission, former German Minister of Defence.",Female,Politicians
Volodymyr Zelensky,2,"President of Ukraine, former comedian and producer.",Male,Politicians
Andre Geim,2,"Physicist known for his work on graphene, which earned him a Nobel Prize in Physics.",Male,Scientists
Barry Barish,2,"Physicist known for his work on gravitational waves, for which he was awarded the Nobel Prize in Physics.",Male,Scientists
Bernard L. Feringa,2,"Chemist known for his work on molecular machines, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Brian Cox,2,Particle physicist and science communicator. Presenter of numerous popular science programs for the BBC.,Male,Scientists
Carlo Rovelli,2,Theoretical physicist known for his contributions to quantum gravity.,Male,Scientists
Carol W. Greider,2,"Biologist known for her work on telomeres and telomerase, for which she was awarded the Nobel Prize in Physiology or Medicine.",Female,Scientists
Craig Venter,2,Biotechnologist and entrepreneur who was one of the first to sequence the human genome.,Male,Scientists
Dan Shechtman,2,"Materials scientist known for his work on quasicrystals, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
David J. Wineland,2,"Physicist known for his work on trapped ions, for which he was awarded the Nobel Prize in Physics.",Male,Scientists
Edward O. Wilson,2,"Biologist, theorist, naturalist, and author. Known as the ""father of sociobiology.""",Male,Scientists
Elizabeth H. Blackburn,2,Molecular biologist who received a Nobel Prize in Physiology or Medicine for the co-discovery of telomerase.,Female,Scientists
Emmanuelle Charpentier,2,"Microbiologist, biochemist, and geneticist. Co-developer of the revolutionary CRISPR gene editing technology.",Female,Scientists
Frances Arnold,2,"Chemical engineer known for her work on the directed evolution of enzymes, for which she was awarded the Nobel Prize in Chemistry.",Female,Scientists
Fraser Stoddart,2,"Chemist known for his work on molecular machines, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Freeman Dyson,2,"Theoretical physicist and mathematician known for his work in quantum field theory, solid-state physics, and nuclear engineering.",Male,Scientists
Jack W. Szostak,2,"Biologist known for his work on telomeres and telomerase, for which he was awarded the Nobel Prize in Physiology or Medicine.",Male,Scientists
James E. Rothman,2,"Cell biologist known for his work on vesicle trafficking, for which he was awarded the Nobel Prize in Physiology or Medicine.",Male,Scientists
Jean-Pierre Sauvage,2,"Chemist known for his work on molecular machines, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Jennifer Doudna,2,Biochemist known for her pioneering work in CRISPR gene editing technology.,Female,Scientists
John Gurdon,2,"Developmental biologist known for his pioneering work in cloning, for which he was awarded the Nobel Prize in Physiology or Medicine.",Male,Scientists
Kip Thorne,2,Theoretical physicist renowned for contributions to gravitational physics and astrophysics.,Male,Scientists
Lisa Randall,2,Theoretical physicist and leading expert on particle physics and cosmology.,Female,Scientists
Martin Chalfie,2,"Biologist known for his introduction of Green Fluorescent Protein (GFP) as a biological marker, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Michio Kaku,2,Theoretical physicist and futurist. Co-founder of string field theory.,Male,Scientists
Oliver Sacks,2,"Neurologist and author known for writing about his patients' disorders in books like ""Awakenings"" and ""The Man Who Mistook His Wife for a Hat.""",Male,Scientists
Paul L. Modrich,2,"Biochemist known for his research on DNA mismatch repair, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Peter Higgs,2,"Theoretical physicist who predicted the existence of the ... boson, confirmed by CERN in 2012.",Male,Scientists
Robert Sapolsky,2,Neuroendocrinologist and author known for his work on the effects of stress.,Male,Scientists
Sean M. Carroll,2,Cosmologist and physics educator specializing in dark energy and general relativity.,Male,Scientists
Stefan W. Hell,2,"Physicist known for his work on super-resolved fluorescence microscopy, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Steven Chu,2,"Physicist known for his work on cooling and trapping of atoms with laser light, for which he won the Nobel Prize in Physics.",Male,Scientists
Steven Pinker,2,"Cognitive psychologist, linguist, and popular science author. Known for his advocacy of evolutionary psychology and the computational theory of mind.",Male,Scientists
Temple Grandin,2,Animal scientist and autism spokesperson. Known for her work on animal behavior and autism advocacy.,Female,Scientists
Venki Ramakrishnan,2,"Structural biologist known for his work on the atomic structure of the ribosome, for which he was awarded the Nobel Prize in Chemistry.",Male,Scientists
Yoshinori Ohsumi,2,"Cell biologist known for his work on autophagy, for which he was awarded the Nobel Prize in Physiology or Medicine.",Male,Scientists
Abby Wambach,2,"American retired soccer player, two-time Olympic gold medalist, and FIFA Women's World Cup champion.",Female,Sport/Athletes
Alain Prost,2,French retired racing driver and four-time Formula One Drivers' Champion.,Male,Sport/Athletes
Alex Morgan,2,"American professional soccer player, Olympic gold medalist, and FIFA Women's World Cup champion.",Female,Sport/Athletes
Anthony Joshua,2,"British professional boxer, two-time unified heavyweight champion.",Male,Sport/Athletes
Antoine Griezmann,2,"French professional footballer, known for his time at Atletico Madrid and Barcelona.",Male,Sport/Athletes
Canelo Álvarez,2,"Mexican professional boxer, four-division world champion.",Male,Sport/Athletes
Carli Lloyd,2,"American professional soccer player, two-time Olympic gold medalist, and FIFA Women's World Cup champion.",Female,Sport/Athletes
Caster Semenya,2,South African middle-distance runner and 2016 Olympic gold medalist.,Female,Sport/Athletes
Clayton Kershaw,2,American professional baseball pitcher for the Los Angeles Dodgers of Major League Baseball (MLB).,Male,Sport/Athletes
Conor McGregor,2,Irish professional mixed martial artist and boxer.,Male,Sport/Athletes
Deontay Wilder,2,"American professional boxer, former WBC Heavyweight Champion.",Male,Sport/Athletes
Drew Brees,2,"American former professional football quarterback in the NFL, known for his time with the New Orleans Saints.",Male,Sport/Athletes
Eden Hazard,2,"Belgian professional footballer, known for his time at Chelsea and Real Madrid.",Male,Sport/Athletes
Eliud Kipchoge,2,"Kenyan long-distance runner, current world record holder for the marathon.",Male,Sport/Athletes
Hope Solo,2,"American former soccer goalkeeper, two-time Olympic gold medalist, and FIFA Women's World Cup champion.",Female,Sport/Athletes
James Harden,2,"American professional basketball player in the NBA, known for his time with the Houston Rockets and Brooklyn Nets.",Male,Sport/Athletes
Katie Ledecky,2,"American competitive swimmer, multiple Olympic gold medalist and world record holder.",Female,Sport/Athletes
Kawhi Leonard,2,"American professional basketball player in the NBA, known for his time with the San Antonio Spurs and Los Angeles Clippers.",Male,Sport/Athletes
Kevin Durant,2,"American professional basketball player in the NBA, known for his time with the Golden State Warriors and Brooklyn Nets.",Male,Sport/Athletes
Khabib Nurmagomedov,2,"Russian retired professional mixed martial artist, regarded as one of the greatest fighters in MMA history.",Male,Sport/Athletes
Kylian Mbappé,2,"French professional footballer, known for his time at Paris Saint-Germain and the French national team.",Male,Sport/Athletes
Lindsey Vonn,2,American former World Cup alpine ski racer.,Female,Sport/Athletes
Luka Modrić,2,"Croatian professional footballer, known for his time at Real Madrid and the Croatian national team.",Male,Sport/Athletes
Lydia Ko,2,New Zealand professional golfer.,Female,Sport/Athletes
Maria Sharapova,2,"Russian former professional tennis player, winner of several Grand Slam titles.",Female,Sport/Athletes
Marta Vieira da Silva,2,"Brazilian professional footballer, considered one of the greatest female players of all time.",Female,Sport/Athletes
Megan Rapinoe,2,"American professional soccer player, FIFA Women's World Cup champion, and activist.",Female,Sport/Athletes
Mike Trout,2,American professional baseball player for the Los Angeles Angels of Major League Baseball (MLB).,Male,Sport/Athletes
Mo Farah,2,British long-distance runner and multiple Olympic gold medalist.,Male,Sport/Athletes
Odell Beckham Jr.,2,"American professional football wide receiver in the NFL, known for his time with the New York Giants and Cleveland Browns.",Male,Sport/Athletes
Peyton Manning,2,"American former professional football quarterback in the NFL, known for his time with the Indianapolis Colts and Denver Broncos.",Male,Sport/Athletes
Robert Lewandowski,2,"Polish professional footballer, known for his time at Bayern Munich and the Polish national team.",Male,Sport/Athletes
Ronda Rousey,2,"American professional wrestler, actress, author, and former mixed martial artist and judoka.",Female,Sport/Athletes
Russell Westbrook,2,"American professional basketball player in the NBA, known for his time with the Oklahoma City Thunder and Houston Rockets.",Male,Sport/Athletes
Sebastian Vettel,2,"German racing driver in Formula One, known for his time at Red Bull Racing and Ferrari.",Male,Sport/Athletes
Shaun White,2,"American professional snowboarder and skateboarder, three-time Olympic gold medalist.",Male,Sport/Athletes
Stephen Curry,2,"American professional basketball player in the NBA, known for his time with the Golden State Warriors.",Male,Sport/Athletes
Venus Williams,2,"American professional tennis player, winner of multiple Grand Slam titles.",Female,Sport/Athletes
Yuzuru Hanyu,2,"Japanese figure skater, two-time Olympic gold medalist.",Male,Sport/Athletes
Zlatan Ibrahimović,2,"Swedish professional footballer, known for his time at Paris Saint-Germain and AC Milan.",Male,Sport/Athletes
David Baldacci,2,"American author, known for his thrillers.",Male,Writers/Authors
Gillian Flynn,2,"American author, recognized for her novel ""Gone Girl"".",Female,Writers/Authors
Harlan Coben,2,"American author, known for his mystery novels and thrillers.",Male,Writers/Authors
Ian McEwan,2,"British novelist and screenwriter, recognized for his novel ""Atonement"".",Male,Writers/Authors
Jojo Moyes,2,"British author, recognized for her romance novel ""Me Before You"".",Female,Writers/Authors
Kazuo Ishiguro,2,"British author, known for his novel ""The Remains of the Day"". Nobel laureate in Literature.",Male,Writers/Authors
Khaled Hosseini,2,"Afghan-born American novelist, famous for his debut novel, ""The Kite Runner"".",Male,Writers/Authors
Michael Lewis,2,"American author, recognized for his non-fiction works on business and finance, such as ""The Big Short"".",Male,Writers/Authors
Paula Hawkins,2,"British author, known for her best-selling novel ""The Girl on the Train"".",Female,Writers/Authors
Yann Martel,2,"Spanish-born Canadian author, best known for the Man Booker Prize-winning novel ""Life of Pi"".",Male,Writers/Authors
Berta Cáceres,3,"Honduran environmental activist, indigenous leader, and co-founder of the Council of Popular and Indigenous Organizations of Honduras (COPINH).",Female,Activists
Dolores Huerta,3,American labor leader and civil rights activist who co-founded the National Farmworkers Association.,Female,Activists
James Baldwin,3,"American novelist, playwright, essayist, poet, and activist, known for his essays on the Black experience in America.",Male,Activists
Jeremy Bentham,3,"English philosopher, jurist, and social reformer regarded as the founder of modern utilitarianism.",Male,Activists
Larry Kramer,3,"American playwright, author, film producer, public health advocate, and LGBT rights activist.",Male,Activists
Medgar Evers,3,"American civil rights activist from Mississippi, involved in efforts to overturn segregation at the University of Mississippi.",Male,Activists
Mumia Abu-Jamal,3,American activist and journalist who became involved in black nationalism in the 1970s.,Male,Activists
Raif Badawi,3,"Saudi Arabian blogger, writer, and activist, known for his role in creating the website Free Saudi Liberals.",Male,Activists
Rigoberta Menchú,3,"K'iche' political and human rights activist from Guatemala, and Nobel Peace Prize laureate.",Female,Activists
Severn Cullis-Suzuki,3,"Environmental activist, speaker, television host and author, known for addressing the United Nations at age 12.",Female,Activists
Tarana Burke,3,Civil rights activist who founded the Me Too movement.,Female,Activists
Wael Ghonim,3,"Egyptian activist and computer engineer, with key involvement in the Arab Spring.",Male,Activists
Wangari Maathai,3,"Kenyan environmental political activist and Nobel laureate, known for the Green Belt Movement.",Female,Activists
Winona LaDuke,3,"American environmentalist, economist, and writer, known for her work on tribal land claims and preservation.",Female,Activists
Danny DeVito,3,Known for his comedic roles in TV series like It's Always Sunny in Philadelphia and films like Twins.,Male,Actor/Actress
Eva Green,3,"French actress, known for her roles in Casino Royale and Penny Dreadful.",Female,Actor/Actress
Gong Li,3,Chinese actress known for her roles in Farewell My Concubine and Memoirs of a Geisha.,Female,Actor/Actress
Iain Glen,3,"Scottish actor, known for his roles as Ser Jorah Mormont in Game of Thrones and Dr. Isaacs in the Resident Evil films.",Male,Actor/Actress
Jesse Eisenberg,3,Known for his roles in films like The Social Network and Zombieland. Academy Award nominee.,Male,Actor/Actress
Jessica Alba,3,Known for her roles in films like Fantastic Four and TV series like Dark Angel.,Female,Actor/Actress
Jessica Biel,3,Known for her role as Mary Camden in 7th Heaven and films like The Illusionist.,Female,Actor/Actress
Kate Beckinsale,3,English actress known for her roles in the Underworld series and films like Pearl Harbor.,Female,Actor/Actress
Kate Hudson,3,Known for her roles in Almost Famous and How to Lose a Guy in 10 Days. Academy Award nominee.,Female,Actor/Actress
Rose Byrne,3,Australian actress known for her roles in Bridesmaids and X-Men: First Class.,Female,Actor/Actress
Stanley Tucci,3,Known for his roles in films like The Lovely Bones and The Hunger Games. Academy Award nominee.,Male,Actor/Actress
Timothy Spall,3,English character actor known for his roles in Secrets & Lies and as Peter Pettigrew in the Harry Potter series.,Male,Actor/Actress
Anish Kapoor,3,"British-Indian sculptor, known for his large-scale sculptures and installations.",Male,Artists/Painters
Barbara Kruger,3,American conceptual artist known for her layered photographs and aggressive text.,Female,Artists/Painters
Bridget Riley,3,English painter known for her singular op art paintings.,Female,Artists/Painters
Christo Vladimirov Javacheff,3,"Artist known with his wife Jeanne-Claude for their large-scale, site-specific environmental installations and wrapped buildings.",Male,Artists/Painters
Cindy Sherman,3,"American artist whose work consists of photographic self-portraits, depicting herself in many different contexts and as various imagined characters.",Female,Artists/Painters
Cy Twombly,3,"American painter, sculptor, and photographer, known for his large-scale, freely scribbled, calligraphic-style graffiti paintings.",Male,Artists/Painters
Damien Hirst,3,"English artist, entrepreneur, and art collector, one of the Young British Artists who dominated the art scene in the UK during the 1990s.",Male,Artists/Painters
David Hockney,3,"British painter, draughtsman, printmaker, stage designer, and photographer, important contributor to the pop art movement.",Male,Artists/Painters
Édouard Manet,3,"French modernist painter, his works are considered pivotal in the transition from Realism to Impressionism.",Male,Artists/Painters
Gerhard Richter,3,"German visual artist, widely regarded as one of the most important contemporary German artists and several of his works have set record prices at auction.",Male,Artists/Painters
Hieronymus Bosch,3,"Dutch/Netherlandish draughtsman and painter from Brabant, known for his detailed panels and use of fantastic imagery.",Male,Artists/Painters
James Turrell,3,American artist known for his explorations of light and space.,Male,Artists/Painters
Jean-Michel Basquiat,3,American artist known for his primitivist depictions and graffiti-like style.,Male,Artists/Painters
Joan Miró,3,"Spanish painter, sculptor, and ceramicist known for his surrealist and experimental style.",Male,Artists/Painters
Louise Bourgeois,3,"French-American artist, known for her large-scale sculpture and installation art.",Female,Artists/Painters
Marina Abramović,3,"Serbian performance artist, her work explores the relationship between performer and audience, the limits of the body, and possibilities of the mind.",Female,Artists/Painters
Mark Rothko,3,American abstract expressionist known for his abstract paintings using just two or three juxtaposed colors.,Male,Artists/Painters
Paul Gauguin,3,"French post-Impressionist artist, known for his bold colors, stark contrasts, and Tahitian themes.",Male,Artists/Painters
Peter Doig,3,Scottish painter known for his innovative approach to traditional genres of landscape and figurative painting.,Male,Artists/Painters
René Magritte,3,Belgian surrealist artist known for his witty and thought-provoking images.,Male,Artists/Painters
Sandro Botticelli,3,"Italian painter of the Early Renaissance, known for his masterpieces ""The Birth of Venus"" and ""Primavera"".",Male,Artists/Painters
Willem de Kooning,3,"Dutch-American abstract expressionist artist known for his high-energy, gestural technique.",Male,Artists/Painters
Alice Walton,3,"Heiress to the fortune of Walmart Inc., and noted art curator and philanthropist.",Female,Entrepreneurs/Business leaders
Anne Wojcicki,3,"Co-founder and CEO of 23andMe, a privately held personal genomics and biotechnology company.",Female,Entrepreneurs/Business leaders
Brian Chesky,3,"Co-founder and CEO of Airbnb, an online marketplace for lodging and tourism experiences.",Male,Entrepreneurs/Business leaders
Daniel Ek,3,"Co-founder and CEO of Spotify, a music streaming platform.",Male,Entrepreneurs/Business leaders
Jack Dorsey,3,"Co-founder and CEO of Twitter, and the founder and CEO of Square, a mobile payments company.",Male,Entrepreneurs/Business leaders
Jim Walton,3,"Heir to the fortune of Walmart, the world's largest retailer.",Male,Entrepreneurs/Business leaders
Lei Jun,3,"Founder, chairman and CEO of Xiaomi, one of the largest smartphone makers in the world.",Male,Entrepreneurs/Business leaders
Ma Huateng,3,"Co-founder and CEO of Tencent, one of the largest internet and technology companies, and the biggest investment, gaming and entertainment conglomerates in the world.",Male,Entrepreneurs/Business leaders
Marc Benioff,3,"Founder, chairman and CEO of Salesforce, a cloud computing company.",Male,Entrepreneurs/Business leaders
Marillyn Hewson,3,"Executive Chairman of Lockheed Martin, an American aerospace, defense, security, and advanced technologies company.",Female,Entrepreneurs/Business leaders
Masayoshi Son,3,"Founder and CEO of SoftBank, a multinational conglomerate holding company.",Male,Entrepreneurs/Business leaders
Michael Dell,3,"Founder, chairman and CEO of ... Technologies, one of the world's largest technology infrastructure companies.",Male,Entrepreneurs/Business leaders
Peter Thiel,3,"Co-founder of PayPal, a system for making payments over the internet, and founder of Clarium Capital, a global macro hedge fund.",Male,Entrepreneurs/Business leaders
Reid Hoffman,3,"Co-founder of LinkedIn, a business-oriented social networking service.",Male,Entrepreneurs/Business leaders
Rupert Murdoch,3,"Media mogul, the founder, chairman and CEO of global media holding company News Corporation.",Male,Entrepreneurs/Business leaders
Sara Blakely,3,"Founder of Spanx, an American intimate apparel company.",Female,Entrepreneurs/Business leaders
Tory Burch,3,"Fashion designer, businesswoman, and philanthropist, who has won several fashion awards for her designs.",Female,Entrepreneurs/Business leaders
Travis Kalanick,3,"Co-founder of Uber, a multinational ride-hailing company.",Male,Entrepreneurs/Business leaders
Catherine the Great,3,"The most renowned and the longest-ruling female leader of Russia, reigning from 1762 until her death in 1796.",Female,Historic Figures
Eleanor of Aquitaine,3,"One of the most powerful and influential figures of the Middle Ages, queen consort of both France and England.",Female,Historic Figures
Hammurabi,3,"King of Babylon, known for the set of laws called …'s Code, one of the first written codes of law in recorded history.",Male,Historic Figures
Harriet Tubman,3,"American abolitionist and political activist, best known for her role in aiding enslaved people escape via the ""Underground Railroad"".",Female,Historic Figures
Hernán Cortés,3,Spanish Conquistador who led an expedition that caused the fall of the Aztec Empire.,Male,Historic Figures
Otto von Bismarck,3,Conservative Prussian statesman who masterminded the unification of Germany in 1871.,Male,Historic Figures
Saladin,3,"First sultan of Egypt and Syria, known for his role in the Crusades.",Male,Historic Figures
Sun Tzu,3,"Chinese general, military strategist, writer and philosopher, traditionally credited as the author of The Art of War, an influential work on military strategy.",Male,Historic Figures
Tutankhamun,3,"Egyptian pharaoh of the 18th dynasty, known as ""King Tut"". His tomb's discovery by Howard Carter in 1922 received worldwide press coverage.",Male,Historic Figures
Vasco da Gama,3,"Portuguese explorer, the first European to reach India by sea.",Male,Historic Figures
William the Conqueror,3,"First Norman King of England, reigning from 1066 until his death in 1087.",Male,Historic Figures
Charli XCX,3,"English pop singer known for her hits ""Boom Clap"" and ""1999.""",Female,Musicians
Jack Harlow,3,"Rapper known for his hit ""Whats Poppin.""",Male,Musicians
James Blake,3,English musician known for his distinct electronic sound.,Male,Musicians
Jorja Smith,3,"English R&B singer known for her soulful voice and hits like ""Don't Watch Me Cry.""",Female,Musicians
Lil Dicky,3,"Rapper known for his comedic style and his hit ""Freaky Friday.""",Male,Musicians
Mac Miller,3,"Late rapper known for his introspective lyrics and his hit ""Self Care.""",Male,Musicians
Normani,3,"R&B singer known for her hit ""Motivation."" Former member of Fifth Harmony.",Female,Musicians
Rex Orange County,3,"English artist known for his blend of genres and his hit ""Loving is Easy.""",Male,Musicians
St. Vincent,3,"Indie rock musician known for her distinct sound and her hit ""New York.""",Female,Musicians
Zara Larsson,3,"Swedish pop singer known for her hits ""Lush Life"" and ""Never Forget You.""",Female,Musicians
Alain Badiou,3,"French philosopher, known for his work on ontology, politics, and aesthetics.",Male,Philosophers
Friedrich Hegel,3,"German philosopher, developed a comprehensive systematic framework of concepts, known for his ideas on dialectical reasoning.",Male,Philosophers
George Berkeley,3,"Irish philosopher, known for his philosophy of subjective idealism.",Male,Philosophers
Gilles Deleuze,3,"French philosopher, known for his work on philosophy, literature, film, and fine art.",Male,Philosophers
Hannah Arendt,3,"German-American philosopher and political theorist, known for her work on authority, the human condition, and totalitarianism.",Female,Philosophers
Jacques Derrida,3,"French philosopher, known for developing a form of semiotic analysis known as deconstruction.",Male,Philosophers
Julia Kristeva,3,"Bulgarian-French philosopher, psychoanalyst, feminist, and novelist, known for her work on language, love, and the ""semiotic"".",Female,Philosophers
Jürgen Habermas,3,"German philosopher, one of the most important figures in critical theory and ""the second generation"" of the Frankfurt School.",Male,Philosophers
Kwame Anthony Appiah,3,"British-Ghanaian philosopher, cultural theorist, and novelist, known for his work on identity, race, and ethics.",Male,Philosophers
Slavoj Žižek,3,"Slovenian philosopher, known for his works on ideology, ""enjoyment"", and a wide range of topics from popular culture to political theory.",Male,Philosophers
Beji Caid Essebsi,3,"President of Tunisia, first freely elected president after the Arab Spring.",Male,Politicians
Bidhya Devi Bhandari,3,"President of Nepal, women's rights advocate.",Female,Politicians
Boyko Borissov,3,"Prime Minister of Bulgaria, former firefighter and bodyguard.",Male,Politicians
Charles Michel,3,"President of the European Council, former Prime Minister of Belgium.",Male,Politicians
Cyril Ramaphosa,3,"President of South Africa, former anti-apartheid activist.",Male,Politicians
Dalia Grybauskaitė,3,"Former President of Lithuania, former European Commissioner.",Female,Politicians
George Weah,3,"President of Liberia, former professional footballer.",Male,Politicians
Halimah Yacob,3,"President of Singapore, former Speaker of Parliament.",Female,Politicians
Hilda Heine,3,"Former President of the Marshall Islands, education expert.",Female,Politicians
Jens Stoltenberg,3,"Secretary General of NATO, former Prime Minister of Norway.",Male,Politicians
João Lourenço,3,"President of Angola, former Minister of Defense.",Male,Politicians
Kersti Kaljulaid,3,"President of Estonia, former European Court of Auditors representative.",Female,Politicians
Kolinda Grabar-Kitarović,3,"Former President of Croatia, former NATO Assistant Secretary General.",Female,Politicians
Maia Sandu,3,"President of Moldova, former Prime Minister.",Female,Politicians
Mette Frederiksen,3,"Prime Minister of Denmark, youngest ever to hold the office.",Female,Politicians
